id;language;gender;year;degree;access
u000133;CA;F;1964;1;Yes
u000134;CA;M;1962;0;No
u000135;CA;M;1974;0;Started
u000136;ES;M;1966;0;Started
u000137;ES;F;1973;0;Yes
u000138;ES;M;1969;0;Yes
u000139;ES;M;1966;0;No
u000140;CA;M;1973;0;Started
u000141;ES;F;1959;1;No
u000142;ES;M;1976;0;Yes
u000143;ES;M;1974;1;No
u000144;ES;M;1965;0;No
u000145;ES;M;1967;0;Started
u000146;CA;M;1968;1;Yes
u000147;ES;M;1970;0;No
u000148;ES;M;1961;0;No
u000149;CA;F;1967;0;No
u000150;CA;M;1972;0;Started
u000151;CA;M;1963;0;Yes
u000152;ES;M;1961;0;Started
u000153;CA;F;1969;0;Started
u000154;ES;F;1966;0;Started
u000155;ES;M;1968;0;Yes
u000156;ES;M;1970;0;Started
u000157;CA;M;1973;0;Started
u000158;ES;M;1973;0;No
u000159;ES;M;1967;0;Started
u000160;ES;M;1973;1;Started
u000161;CA;M;1967;1;Yes
u000162;ES;F;1969;0;Yes
u000163;ES;F;1971;0;Yes
u000164;CA;M;1966;1;Yes
u000165;ES;M;1961;0;Started
u000166;ES;F;1968;0;No
u000167;ES;F;1976;1;Started
u000168;CA;M;1970;0;Yes
u000169;ES;M;1966;1;Started
u000170;ES;M;1962;1;No
u000171;ES;M;1966;0;Started
u000172;ES;F;1967;0;Started
u000173;CA;F;1969;0;No
u000174;CA;F;1966;1;Started
u000175;ES;F;1972;0;Started
u000176;ES;M;1966;0;Started
u000177;ES;M;1961;0;No
u000178;ES;M;1972;0;Started
u000179;ES;M;1969;0;Yes
u000180;ES;M;1960;0;Started
u000181;ES;M;1966;1;Yes
u000182;ES;F;1970;0;Started
u000183;ES;M;1970;0;Started
u000184;ES;M;1970;0;No
u000185;ES;M;1967;0;Started
u000186;CA;F;1964;0;Started
u000187;ES;M;1969;0;Yes
u000188;ES;M;1968;1;Yes
u000189;CA;M;1969;0;Yes
u000190;ES;M;1967;0;No
u000191;ES;M;1956;0;Started
u000192;ES;M;1966;0;Yes
u000193;CA;M;1974;0;Yes
u000194;ES;M;1977;0;Started
u000195;ES;M;1962;1;Started
u000196;CA;M;1968;0;Started
u000197;CA;M;1970;0;Started
u000198;ES;M;1965;1;No
u000199;CA;M;1976;0;Yes
u000200;ES;M;1966;0;No
u000201;ES;F;1970;1;Yes
u000202;ES;F;1967;0;Yes
u000203;ES;F;1965;0;Started
u000204;ES;F;1968;0;No
u000205;CA;F;1961;0;No
u000206;ES;M;1971;0;Yes
u000207;ES;M;1968;1;Yes
u000208;ES;F;1968;0;Started
u000209;ES;M;1968;0;Yes
u000210;CA;M;1971;0;No
u000211;ES;M;1972;0;Yes
u000212;CA;F;1966;1;Yes
u000213;ES;F;1970;0;Yes
u000214;ES;M;1958;0;Started
u000215;ES;M;1978;0;Yes
u000216;ES;M;1964;0;No
u000217;ES;F;1969;0;Started
u000218;CA;F;1965;1;No
u000219;ES;M;1966;0;Started
u000220;CA;M;1963;0;Yes
u000221;CA;M;1963;0;Yes
u000222;ES;F;1974;0;Yes
u000223;ES;M;1962;1;Started
u000224;CA;F;1962;0;No
u000225;ES;M;1971;0;Started
u000226;ES;M;1964;0;Started
u000227;CA;F;1969;0;Yes
u000228;CA;M;1966;0;Started
u000229;CA;F;1971;0;Yes
u000230;CA;M;1970;0;No
u000231;ES;M;1970;1;No
u000232;ES;F;1970;0;Yes
u000233;ES;M;1966;0;Started
u000234;CA;M;1967;0;Started
u000235;ES;F;1966;0;Started
u000236;ES;M;1969;0;Yes
u000237;ES;M;1974;0;Yes
u000238;ES;M;1968;1;No
u000239;CA;M;1968;0;Started
u000240;ES;F;1959;1;No
u000241;ES;M;1970;0;Started
u000242;ES;F;1970;0;Started
u000243;ES;F;1964;0;Yes
u000244;ES;M;1967;0;Started
u000245;ES;M;1966;0;No
u000246;ES;F;1970;0;No
u000247;CA;F;1966;1;Started
u000248;ES;M;1971;0;Yes
u000249;ES;M;1972;0;Yes
u000250;ES;M;1963;0;Yes
u000251;ES;M;1968;0;No
u000252;CA;M;1967;0;Yes
u000253;ES;M;1975;0;Yes
u000254;ES;M;1975;1;Yes
u000255;CA;F;1966;0;Yes
u000256;CA;M;1973;0;Started
u000257;CA;M;1964;0;No
u000258;ES;M;1966;1;Started
u000259;ES;F;1963;0;Started
u000260;CA;M;1969;0;Yes
u000261;ES;F;1976;0;Started
u000262;ES;M;1961;0;Started
u000263;ES;M;1971;0;Started
u000264;ES;M;1969;0;Started
u000265;CA;F;1966;0;No
u000266;ES;M;1972;0;Yes
u000267;ES;M;1966;0;Yes
u000268;CA;F;1966;0;Yes
u000269;ES;M;1962;0;Yes
u000270;ES;M;1961;0;Yes
u000271;ES;M;1969;0;Started
u000272;CA;M;1966;0;Started
u000273;ES;M;1965;0;No
u000274;CA;F;1964;0;Started
u000275;ES;F;1965;0;No
u000276;ES;M;1960;0;Yes
u000277;ES;M;1963;0;Started
u000278;CA;M;1975;0;No
u000279;CA;F;1957;0;Yes
u000280;CA;M;1970;0;No
u000281;ES;M;1965;0;No
u000282;CA;M;1962;0;Started
u000283;ES;M;1968;0;Yes
u000284;ES;F;1957;0;Started
u000285;CA;F;1970;0;Started
u000286;ES;M;1968;0;Started
u000287;ES;M;1966;0;No
u000288;ES;M;1965;0;Started
u000289;ES;F;1966;0;Yes
u000290;ES;M;1970;1;No
u000291;ES;M;1960;0;Started
u000292;ES;M;1967;0;Yes
u000293;CA;M;1965;0;No
u000294;CA;F;1969;0;Started
u000295;ES;M;1958;0;Started
u000296;CA;F;1959;0;No
u000297;ES;M;1977;0;Started
u000298;ES;M;1960;0;Started
u000299;CA;F;1968;0;Yes
u000300;ES;F;1972;0;Started
u000301;ES;M;1968;0;No
u000302;ES;M;1973;0;Yes
u000303;ES;F;1968;0;Yes
u000304;ES;M;1963;0;Yes
u000305;ES;M;1964;1;Started
u000306;CA;F;1965;1;Yes
u000307;CA;M;1958;1;Yes
u000308;ES;F;1973;0;Yes
u000309;ES;M;1970;0;No
u000310;ES;F;1959;0;No
u000311;ES;F;1957;0;Started
u000312;ES;F;1963;0;No
u000313;ES;M;1960;0;Started
u000314;CA;F;1973;0;No
u000315;ES;F;1964;0;No
u000316;ES;F;1965;0;Yes
u000317;ES;M;1967;0;No
u000318;CA;M;1966;0;No
u000319;ES;F;1971;1;Started
u000320;CA;F;1969;0;Started
u000321;CA;M;1967;0;Started
u000322;ES;M;1977;0;No
u000323;ES;M;1965;1;Yes
u000324;ES;M;1964;0;No
u000325;ES;M;1966;0;Yes
u000326;ES;M;1970;0;Yes
u000327;ES;M;1970;0;Yes
u000328;CA;M;1967;0;Started
u000329;CA;M;1961;0;Started
u000330;ES;F;1973;0;Yes
u000331;CA;F;1965;0;Started
u000332;ES;F;1960;0;Yes
u000333;ES;M;1966;0;Yes
u000334;ES;F;1968;0;Started
u000335;ES;M;1965;1;Started
u000336;ES;M;1974;0;Yes
u000337;CA;M;1966;1;Yes
u000338;ES;M;1963;0;No
u000339;CA;M;1968;0;Started
u000340;CA;M;1971;0;Yes
u000341;CA;M;1967;0;Started
u000342;ES;M;1959;1;Yes
u000343;ES;M;1970;0;No
u000344;ES;M;1964;0;Yes
u000345;CA;M;1966;0;Yes
u000346;CA;F;1968;0;Started
u000347;ES;M;1968;0;No
u000348;ES;M;1976;0;Started
u000349;CA;M;1966;0;Started
u000350;ES;F;1964;0;No
u000351;CA;M;1966;1;Yes
u000352;ES;M;1971;1;Started
u000353;CA;M;1960;1;Yes
u000354;CA;M;1970;0;Started
u000355;CA;F;1969;0;Started
u000356;ES;M;1969;0;Started
u000357;CA;M;1964;0;Started
u000358;ES;M;1966;0;Started
u000359;ES;M;1971;0;Started
u000360;ES;M;1964;1;No
u000361;ES;M;1967;0;Yes
u000362;ES;M;1967;1;Yes
u000363;CA;F;1971;0;Yes
u000364;ES;F;1967;0;Yes
u000365;CA;M;1971;0;Yes
u000366;ES;M;1967;0;Yes
u000367;CA;M;1966;1;Yes
u000368;ES;M;1971;0;Started
u000369;CA;F;1973;0;No
u000370;CA;F;1966;0;Started
u000371;ES;F;1973;0;Started
u000372;CA;M;1967;0;Started
u000373;ES;M;1962;0;No
u000374;ES;M;1970;0;Started
u000375;CA;F;1966;0;No
u000376;CA;M;1959;1;Yes
u000377;ES;F;1974;1;Yes
u000378;CA;M;1965;0;No
u000379;CA;M;1967;0;Yes
u000380;CA;M;1975;0;Started
u000381;ES;F;1972;0;No
u000382;ES;F;1963;0;No
u000383;ES;F;1973;0;Started
u000384;CA;F;1978;0;Started
u000385;ES;F;1967;0;Started
u000386;ES;M;1966;0;No
u000387;CA;M;1961;0;Started
u000388;ES;F;1964;1;Started
u000389;CA;F;1964;0;No
u000390;CA;M;1969;0;Started
u000391;ES;F;1971;1;No
u000392;CA;F;1963;0;Started
u000393;CA;M;1967;0;Started
u000394;ES;F;1968;0;Yes
u000395;ES;M;1969;1;Yes
u000396;ES;M;1964;0;Yes
u000397;ES;F;1968;0;Started
u000398;ES;M;1968;0;Started
u000399;CA;F;1969;0;No
u000400;CA;M;1962;0;Started
u000401;CA;F;1961;0;Started
u000402;CA;M;1964;1;No
u000403;ES;M;1965;0;Started
u000404;CA;F;1959;0;Started
u000405;CA;M;1973;0;Started
u000406;CA;F;1974;0;Started
u000407;CA;M;1971;1;No
u000408;ES;M;1966;0;Yes
u000409;ES;F;1966;0;Yes
u000410;ES;M;1960;0;Yes
u000411;ES;F;1960;0;Started
u000412;ES;M;1959;0;Started
u000413;ES;M;1968;0;Started
u000414;ES;F;1966;1;Yes
u000415;CA;M;1969;0;Started
u000416;ES;M;1964;0;No
u000417;ES;M;1965;0;Yes
u000418;ES;F;1965;0;No
u000419;ES;F;1968;0;No
u000420;CA;M;1972;0;No
u000421;ES;F;1974;1;Started
u000422;CA;M;1969;0;Yes
u000423;ES;F;1966;0;Started
u000424;CA;F;1976;0;Yes
u000425;ES;M;1961;0;Started
u000426;ES;M;1970;0;Yes
u000427;CA;M;1963;1;No
u000428;CA;F;1962;0;Yes
u000429;ES;M;1969;1;No
u000430;CA;M;1975;0;Yes
u000431;ES;F;1969;0;Started
u000432;ES;F;1971;0;No
u000433;ES;F;1966;0;Yes
u000434;ES;M;1971;1;Started
u000435;CA;M;1964;0;Started
u000436;CA;F;1962;0;Started
u000437;ES;M;1965;0;Started
u000438;ES;F;1963;0;Yes
u000439;ES;M;1971;0;No
u000440;ES;F;1961;0;No
u000441;ES;F;1961;0;Yes
u000442;CA;M;1968;0;Yes
u000443;CA;M;1962;0;Yes
u000444;ES;F;1964;0;Yes
u000445;ES;M;1967;1;Yes
u000446;ES;F;1967;0;Started
u000447;CA;F;1964;0;No
u000448;CA;M;1970;0;Yes
u000449;CA;F;1968;0;Yes
u000450;ES;F;1965;0;Started
u000451;ES;F;1969;1;Yes
u000452;ES;F;1968;0;Started
u000453;ES;F;1964;0;Started
u000454;CA;F;1959;0;No
u000455;CA;F;1973;0;Yes
u000456;ES;M;1963;1;Yes
u000457;CA;M;1962;0;No
u000458;ES;F;1971;1;Started
u000459;ES;F;1973;0;Yes
u000460;ES;M;1958;0;Started
u000461;CA;M;1976;0;Started
u000462;ES;F;1974;0;No
u000463;ES;M;1961;0;No
u000464;ES;F;1967;0;Yes
u000465;ES;F;1965;0;Started
u000466;ES;F;1974;0;No
u000467;CA;M;1965;0;Started
u000468;ES;M;1967;0;Yes
u000469;CA;M;1959;0;Started
u000470;CA;F;1972;0;Yes
u000471;CA;M;1974;0;Started
u000472;ES;M;1965;1;Yes
u000473;CA;F;1963;0;Started
u000474;CA;F;1975;0;No
u000475;CA;M;1967;0;No
u000476;CA;F;1974;0;Started
u000477;ES;M;1975;0;Yes
u000478;ES;M;1966;0;Started
u000479;ES;M;1972;0;No
u000480;CA;F;1969;0;Yes
u000481;CA;M;1966;1;Started
u000482;CA;F;1973;0;Yes
u000483;ES;M;1961;0;Started
u000484;CA;M;1974;0;Started
u000485;ES;M;1966;1;No
u000486;ES;F;1964;0;Started
u000487;CA;F;1972;1;Yes
u000488;CA;M;1975;0;Started
u000489;ES;M;1963;1;Started
u000490;CA;F;1962;0;No
u000491;ES;M;1969;0;No
u000492;ES;M;1964;0;Yes
u000493;ES;M;1962;1;No
u000494;CA;M;1961;0;No
u000495;CA;M;1976;0;Started
u000496;CA;F;1958;0;No
u000497;ES;F;1957;0;Started
u000498;CA;M;1973;0;No
u000499;ES;M;1970;0;Yes
u000500;ES;F;1961;0;No
u000501;CA;M;1971;0;Yes
u000502;ES;M;1967;0;No
u000503;CA;M;1963;0;Started
u000504;ES;M;1971;0;Started
u000505;ES;F;1971;0;Started
u000506;ES;M;1965;0;Started
u000507;ES;M;1970;0;Started
u000508;ES;M;1966;0;No
u000509;CA;M;1966;1;Started
u000510;CA;M;1968;0;Started
u000511;CA;F;1968;0;Started
u000512;CA;F;1973;0;Started
u000513;ES;F;1973;0;Yes
u000514;ES;M;1974;0;No
u000515;ES;F;1959;0;Started
u000516;ES;M;1967;0;Started
u000517;CA;F;1968;0;Started
u000518;ES;M;1961;1;No
u000519;ES;M;1960;0;Yes
u000520;ES;M;1959;0;Started
u000521;ES;F;1962;0;Started
u000522;ES;M;1973;0;Yes
u000523;ES;F;1969;0;Yes
u000524;ES;M;1967;0;No
u000525;ES;M;1965;0;Started
u000526;ES;F;1968;0;Yes
u000527;CA;M;1956;0;Started
u000528;ES;M;1960;0;Yes
u000529;ES;M;1962;0;Started
u000530;CA;F;1970;0;Started
u000531;ES;F;1962;1;No
u000532;CA;F;1969;1;Yes
u000533;CA;F;1966;0;Yes
u000534;CA;F;1966;0;Started
u000535;ES;F;1965;0;No
u000536;CA;M;1963;0;No
u000537;ES;M;1961;0;Started
u000538;CA;F;1963;0;Yes
u000539;ES;F;1969;0;Started
u000540;ES;M;1962;0;Started
u000541;CA;M;1967;0;Yes
u000542;ES;M;1968;0;Yes
u000543;CA;M;1971;0;Started
u000544;ES;F;1968;0;Yes
u000545;ES;M;1966;0;Yes
u000546;ES;M;1964;0;Started
u000547;ES;F;1965;0;Yes
u000548;ES;M;1973;0;Yes
u000549;CA;F;1966;0;No
u000550;ES;F;1965;1;Yes
u000551;CA;M;1964;0;Started
u000552;CA;M;1968;0;No
u000553;ES;F;1968;0;Started
u000554;CA;M;1964;0;Yes
u000555;ES;M;1971;1;Yes
u000556;CA;F;1973;0;No
u000557;ES;M;1971;1;Started
u000558;ES;F;1967;1;Yes
u000559;CA;M;1969;0;Yes
u000560;ES;M;1970;1;Yes
u000561;CA;F;1970;0;No
u000562;ES;F;1963;1;Started
u000563;CA;M;1966;0;Started
u000564;CA;M;1960;0;Yes
u000565;ES;M;1964;0;Started
u000566;ES;F;1963;0;No
u000567;CA;M;1966;0;Yes
u000568;ES;M;1977;0;No
u000569;ES;M;1963;0;No
u000570;ES;M;1971;0;Started
u000571;CA;M;1967;0;Yes
u000572;CA;F;1964;0;Yes
u000573;CA;F;1973;0;No
u000574;CA;M;1956;0;Started
u000575;ES;F;1968;0;Yes
u000576;CA;M;1966;0;No
u000577;ES;M;1972;0;Started
u000578;CA;M;1960;0;No
u000579;CA;M;1973;1;Started
u000580;CA;M;1971;0;No
u000581;CA;M;1967;0;Started
u000582;ES;M;1967;1;Yes
u000583;CA;M;1963;0;Started
u000584;ES;M;1967;0;Yes
u000585;ES;F;1962;1;Yes
u000586;CA;F;1965;0;Yes
u000587;ES;F;1961;0;No
u000588;CA;M;1961;1;No
u000589;CA;M;1960;0;No
u000590;ES;M;1964;0;Yes
u000591;ES;M;1969;0;Started
u000592;CA;F;1961;0;No
u000593;CA;M;1971;0;Yes
u000594;CA;M;1965;1;Yes
u000595;ES;M;1966;0;Started
u000596;ES;M;1975;0;Started
u000597;ES;M;1971;1;Yes
u000598;ES;M;1966;0;Started
u000599;CA;M;1972;0;Yes
u000600;CA;M;1966;0;No
u000601;ES;F;1961;0;Started
u000602;ES;M;1969;1;Yes
u000603;CA;M;1966;0;Started
u000604;ES;M;1960;1;Started
u000605;CA;M;1973;0;No
u000606;ES;M;1970;0;Yes
u000607;ES;M;1970;0;Yes
u000608;ES;M;1965;0;No
u000609;CA;M;1962;0;Started
u000610;ES;M;1962;0;Started
u000611;CA;M;1967;0;Yes
u000612;ES;F;1959;0;Started
u000613;ES;F;1969;0;No
u000614;CA;M;1975;0;Started
u000615;CA;F;1967;0;Yes
u000616;ES;F;1960;1;Started
u000617;CA;F;1960;1;Started
u000618;ES;F;1970;0;Started
u000619;ES;M;1966;0;Yes
u000620;ES;F;1962;0;Started
u000621;ES;M;1971;1;Started
u000622;ES;M;1964;1;No
u000623;ES;M;1972;0;Started
u000624;CA;F;1971;0;Started
u000625;CA;M;1964;1;Started
u000626;ES;M;1960;0;Yes
u000627;ES;M;1967;0;No
u000628;CA;M;1967;1;Yes
u000629;ES;M;1963;1;Yes
u000630;ES;M;1968;0;No
u000631;CA;M;1965;0;Started
u000632;CA;M;1970;0;Started
u000633;ES;M;1968;0;No
u000634;ES;F;1964;0;No
u000635;ES;F;1967;0;Started
u000636;ES;M;1965;0;No
u000637;ES;F;1969;1;Yes
u000638;ES;M;1963;0;Started
u000639;CA;F;1972;0;No
u000640;CA;M;1963;0;Started
u000641;ES;F;1966;1;Started
u000642;CA;M;1963;0;Started
u000643;ES;M;1965;0;No
u000644;ES;F;1975;0;Started
u000645;CA;M;1965;0;Started
u000646;CA;M;1970;0;Yes
u000647;CA;M;1966;0;Yes
u000648;ES;M;1969;0;Started
u000649;ES;M;1968;0;Started
u000650;CA;F;1968;0;No
u000651;ES;F;1962;0;Yes
u000652;CA;M;1967;0;Started
u000653;ES;F;1968;1;Started
u000654;ES;M;1972;1;Yes
u000655;ES;F;1968;0;Yes
u000656;CA;M;1968;0;Started
u000657;CA;M;1965;0;No
u000658;ES;M;1971;0;No
u000659;ES;M;1968;0;Started
u000660;CA;F;1969;0;Yes
u000661;CA;M;1958;0;Started
u000662;ES;M;1968;1;Started
u000663;ES;M;1965;1;Started
u000664;CA;F;1964;0;No
u000665;CA;F;1964;1;Started
u000666;CA;M;1970;1;Started
u000667;ES;M;1967;0;Yes
u000668;CA;F;1967;0;No
u000669;ES;M;1960;0;Started
u000670;ES;M;1964;0;No
u000671;ES;M;1959;0;Yes
u000672;CA;F;1965;0;Started
u000673;CA;F;1962;0;No
u000674;ES;F;1969;0;Yes
u000675;ES;M;1967;0;No
u000676;ES;F;1971;0;Started
u000677;ES;F;1968;0;Started
u000678;ES;M;1972;1;Started
u000679;CA;F;1965;0;Yes
u000680;CA;F;1967;1;No
u000681;ES;M;1976;0;No
u000682;ES;M;1965;0;Yes
u000683;ES;M;1964;0;Started
u000684;ES;M;1969;0;Started
u000685;ES;M;1970;0;Started
u000686;ES;M;1974;0;Yes
u000687;ES;M;1962;0;Started
u000688;ES;F;1964;0;Yes
u000689;ES;M;1968;0;No
u000690;CA;F;1966;0;Started
u000691;ES;F;1964;0;Yes
u000692;ES;M;1965;0;Yes
u000693;ES;M;1972;0;Started
u000694;CA;M;1970;0;Started
u000695;ES;F;1962;0;Yes
u000696;ES;M;1962;0;Yes
u000697;ES;M;1966;0;No
u000698;ES;M;1961;0;Yes
u000699;ES;M;1968;0;No
u000700;ES;M;1966;0;Yes
u000701;CA;F;1967;0;Yes
u000702;CA;F;1965;0;Started
u000703;CA;F;1960;0;No
u000704;ES;F;1964;0;No
u000705;CA;F;1967;0;Started
u000706;ES;M;1961;0;Started
u000707;CA;F;1969;0;Yes
u000708;CA;M;1966;1;Yes
u000709;ES;M;1973;0;No
u000710;CA;F;1967;0;Started
u000711;CA;M;1973;1;Yes
u000712;CA;F;1969;0;Started
u000713;ES;F;1956;0;Started
u000714;ES;M;1961;0;No
u000715;CA;F;1970;0;Started
u000716;ES;M;1974;0;No
u000717;ES;M;1971;0;No
u000718;CA;M;1972;1;Started
u000719;ES;M;1965;0;Started
u000720;CA;F;1963;1;Started
u000721;ES;M;1960;0;Yes
u000722;CA;M;1971;1;Started
u000723;CA;F;1960;0;Yes
u000724;ES;F;1967;0;Started
u000725;CA;M;1968;0;Started
u000726;CA;M;1965;0;Yes
u000727;CA;M;1979;0;Started
u000728;ES;M;1971;0;Yes
u000729;ES;M;1967;0;No
u000730;ES;M;1965;1;No
u000731;CA;F;1962;0;No
u000732;CA;M;1964;0;Started
u000733;ES;M;1977;0;No
u000734;ES;M;1969;0;Yes
u000735;CA;F;1976;0;Yes
u000736;ES;M;1959;1;Yes
u000737;CA;M;1964;0;Started
u000738;CA;F;1969;0;No
u000739;ES;F;1969;0;Yes
u000740;ES;F;1963;0;Started
u000741;ES;M;1969;0;Started
u000742;CA;M;1976;0;Started
u000743;ES;F;1966;0;Yes
u000744;ES;F;1973;0;No
u000745;CA;F;1970;0;Started
u000746;CA;M;1962;0;Yes
u000747;ES;F;1973;0;No
u000748;ES;M;1963;0;Yes
u000749;ES;M;1964;0;Yes
u000750;CA;M;1968;0;No
u000751;ES;M;1963;1;Started
u000752;ES;M;1966;0;Started
u000753;ES;M;1976;0;Started
u000754;ES;F;1966;0;Started
u000755;ES;M;1971;0;Yes
u000756;ES;F;1964;0;Started
u000757;ES;M;1971;1;Started
u000758;ES;M;1964;1;No
u000759;CA;F;1977;0;No
u000760;ES;M;1971;0;No
u000761;CA;M;1961;0;Started
u000762;ES;M;1962;0;No
u000763;ES;M;1969;0;No
u000764;ES;F;1967;0;Started
u000765;ES;M;1960;1;Started
u000766;CA;M;1966;0;Started
u000767;ES;M;1976;1;No
u000768;ES;M;1971;0;Started
u000769;CA;M;1976;0;Yes
u000770;ES;M;1973;0;Yes
u000771;CA;F;1969;0;Yes
u000772;CA;F;1973;0;Started
u000773;ES;F;1963;1;Started
u000774;ES;F;1969;0;Yes
u000775;ES;M;1971;0;Yes
u000776;ES;M;1974;0;Started
u000777;ES;M;1971;0;Started
u000778;ES;F;1960;0;Yes
u000779;ES;F;1964;0;Yes
u000780;CA;M;1967;0;No
u000781;ES;F;1967;0;No
u000782;CA;F;1966;0;Started
u000783;ES;F;1960;0;Started
u000784;ES;M;1962;0;Started
u000785;ES;F;1967;0;Started
u000786;ES;M;1974;0;No
u000787;ES;M;1971;1;No
u000788;ES;F;1963;0;Yes
u000789;ES;F;1964;0;Yes
u000790;ES;M;1967;0;Started
u000791;ES;F;1973;0;Yes
u000792;ES;F;1969;1;Started
u000793;ES;F;1966;0;Started
u000794;ES;M;1970;0;Started
u000795;CA;F;1977;0;Started
u000796;CA;F;1973;0;Started
u000797;CA;F;1968;0;No
u000798;CA;M;1967;0;Started
u000799;ES;M;1969;0;Started
u000800;ES;M;1971;1;Yes
u000801;CA;M;1964;0;Started
u000802;CA;F;1969;0;Started
u000803;ES;F;1965;0;No
u000804;CA;M;1965;0;Yes
u000805;ES;F;1961;0;Started
u000806;ES;M;1970;0;Started
u000807;ES;M;1967;0;Started
u000808;ES;M;1967;0;Started
u000809;ES;F;1976;0;No
u000810;CA;F;1969;1;No
u000811;ES;M;1966;0;Yes
u000812;ES;M;1966;0;Started
u000813;ES;F;1961;0;No
u000814;ES;M;1968;0;Started
u000815;CA;M;1971;0;Started
u000816;ES;M;1975;0;Started
u000817;ES;F;1961;0;Started
