id;semester;course;mark
u000014;2003/1;A18;A
u000014;2003/1;A59;NO
u000014;2003/1;A16;SU
u000014;2003/2;A34;NO
u000014;2003/2;A36;SU
u000014;2004/1;A55;A
u000014;2004/2;A09;A
u000014;2005/1;A35;A
u000014;2005/1;A36;SU
u000014;2005/1;A45;NP
u000014;2005/2;A03;NO
u000014;2005/2;A27;A
u000015;2022/1;A36;A
u000015;2022/1;A48;NO
u000016;2019/2;A15;A
u000016;2019/2;A40;NO
u000016;2019/2;A30;SU
u000016;2019/2;A17;SU
u000016;2020/1;A32;A
u000016;2020/1;A03;SU
u000016;2020/1;A01;NP
u000017;2004/1;A49;A
u000017;2004/1;A08;SU
u000017;2005/1;A45;NO
u000017;2006/1;A21;SU
u000017;2007/1;A43;SU
u000017;2007/1;A43;A
u000017;2008/1;A42;NO
u000017;2008/1;A10;A
u000017;2008/1;A01;SU
u000017;2009/1;A34;A
u000017;2009/1;A40;NP
u000017;2009/1;A18;NO
u000017;2009/2;A03;NP
u000017;2009/2;A30;SU
u000017;2009/2;A20;A
u000018;2011/1;A12;A
u000018;2011/2;A44;SU
u000018;2011/2;A30;NP
u000018;2012/1;A33;A
u000018;2012/1;A13;SU
u000018;2012/2;A28;A
u000018;2012/2;A46;A
u000018;2012/2;A18;NO
u000018;2013/1;A51;A
u000018;2013/1;A39;A
u000018;2013/2;A52;A
u000018;2013/2;A11;NP
u000018;2014/2;A37;EX
u000018;2014/2;A27;A
u000018;2015/2;A58;A
u000018;2015/2;A45;NP
u000018;2015/2;A50;NO
u000018;2015/2;A19;SU
u000018;2016/1;A15;NO
u000018;2016/1;A04;A
u000018;2016/1;A14;NO
u000018;2016/2;A49;A
u000018;2016/2;A02;NO
u000018;2017/2;A59;A
u000018;2017/2;A09;NO
u000018;2017/2;A41;NO
u000019;2015/1;A21;EX
u000019;2015/1;A15;A
u000019;2015/1;A06;SU
u000019;2015/1;A41;A
u000019;2015/2;A58;NP
u000019;2015/2;A31;A
u000019;2015/2;A34;SU
u000019;2015/2;A44;NO
u000019;2016/1;A10;NP
u000020;2022/1;A38;SU
u000020;2022/1;A05;A
u000020;2022/1;A33;A
u000020;2022/1;A21;SU
u000021;2019/1;A50;A
u000021;2019/1;A36;SU
u000021;2019/1;A17;SU
u000021;2019/1;A30;A
u000021;2019/2;A26;NO
u000021;2019/2;A58;A
u000021;2019/2;A25;NO
u000021;2020/1;A49;NP
u000021;2020/1;A10;A
u000021;2020/1;A46;A
u000022;2005/1;A45;A
u000022;2005/1;A27;SU
u000022;2005/1;A38;NP
u000022;2005/2;A05;A
u000022;2005/2;A36;EX
u000022;2006/2;A42;SU
u000022;2006/2;A14;NP
u000022;2006/2;A33;A
u000023;2017/2;A48;SU
u000023;2017/2;A31;A
u000023;2018/1;A41;NO
u000023;2018/2;A02;A
u000023;2018/2;A05;A
u000023;2018/2;A42;NP
u000023;2019/1;A35;A
u000023;2019/1;A18;SU
u000023;2019/2;A45;A
u000023;2019/2;A34;NP
u000023;2019/2;A33;A
u000024;2002/1;A32;NP
u000024;2002/1;A17;EX
u000024;2003/1;A60;NP
u000024;2003/1;A22;NP
u000024;2003/1;A12;NP
u000024;2003/2;A39;A
u000024;2003/2;A46;NO
u000024;2004/1;A38;NO
u000024;2005/1;A19;A
u000024;2006/1;A06;A
u000024;2006/1;A58;A
u000024;2006/1;A43;A
u000024;2006/2;A01;A
u000024;2006/2;A30;SU
u000024;2006/2;A41;SU
u000024;2007/1;A04;SU
u000024;2008/1;A60;NO
u000024;2008/1;A48;SU
u000024;2009/1;A51;NP
u000024;2009/1;A15;A
u000024;2009/1;A20;NO
u000024;2009/2;A56;A
u000024;2009/2;A34;A
u000024;2010/2;A45;NP
u000024;2010/2;A29;EX
u000024;2010/2;A59;A
u000024;2011/1;A40;A
u000024;2012/2;A04;A
u000024;2012/2;A26;A
u000024;2012/2;A36;A
u000025;2001/1;A52;NP
u000025;2001/1;A46;NP
u000025;2001/1;A20;A
u000025;2001/2;A39;A
u000025;2001/2;A54;SU
u000025;2001/2;A24;NO
u000025;2002/1;A60;A
u000025;2002/1;A51;A
u000025;2002/2;A53;NP
u000025;2002/2;A13;NO
u000025;2002/2;A45;NP
u000025;2003/1;A09;SU
u000025;2003/1;A02;SU
u000025;2003/2;A11;SU
u000025;2003/2;A37;A
u000025;2004/1;A38;NO
u000025;2004/1;A25;SU
u000025;2004/2;A32;SU
u000025;2004/2;A14;NP
u000025;2004/2;A01;A
u000025;2005/1;A21;A
u000025;2005/1;A07;SU
u000025;2005/2;A49;NO
u000025;2005/2;A58;A
u000025;2006/1;A32;NP
u000025;2006/1;A53;NP
u000025;2006/2;A40;NP
u000025;2006/2;A23;A
u000025;2007/1;A56;A
u000025;2007/1;A15;NO
u000025;2007/1;A08;A
u000026;2011/1;A49;NO
u000026;2011/1;A47;SU
u000026;2011/1;A48;A
u000026;2011/2;A25;NP
u000027;2005/1;A11;A
u000027;2005/1;A19;NP
u000027;2005/2;A50;EX
u000027;2005/2;A20;NO
u000027;2005/2;A06;A
u000027;2006/1;A14;A
u000027;2006/2;A23;A
u000027;2006/2;A18;A
u000027;2007/1;A37;A
u000027;2007/1;A27;SU
u000027;2007/1;A36;A
u000027;2007/2;A40;NP
u000027;2007/2;A47;SU
u000027;2007/2;A60;SU
u000027;2007/2;A10;A
u000027;2008/1;A09;SU
u000027;2008/1;A08;A
u000027;2009/1;A56;NO
u000027;2009/1;A60;NP
u000027;2009/2;A54;A
u000027;2010/1;A38;A
u000027;2010/2;A45;A
u000027;2010/2;A16;A
u000027;2010/2;A59;A
u000027;2011/1;A07;SU
u000027;2011/1;A22;SU
u000027;2011/2;A57;NO
u000027;2011/2;A01;A
u000027;2012/2;A28;EX
u000027;2012/2;A07;A
u000027;2013/2;A21;SU
u000028;2018/2;A16;A
u000028;2018/2;A01;NO
u000029;2018/2;A57;A
u000029;2018/2;A53;A
u000029;2019/1;A46;A
u000029;2019/1;A33;NO
u000029;2019/1;A11;A
u000029;2019/2;A06;A
u000029;2020/1;A58;A
u000029;2020/1;A13;NP
u000029;2020/1;A54;SU
u000030;2012/1;A32;A
u000030;2012/1;A51;A
u000030;2012/1;A09;NP
u000030;2012/1;A12;A
u000031;2014/2;A50;SU
u000031;2014/2;A04;SU
u000031;2014/2;A18;A
u000031;2015/1;A11;NO
u000031;2015/1;A01;NP
u000031;2015/2;A58;A
u000031;2015/2;A17;A
u000031;2015/2;A36;A
u000031;2016/2;A09;A
u000031;2016/2;A40;A
u000031;2016/2;A12;A
u000031;2017/2;A52;A
u000031;2017/2;A02;A
u000031;2017/2;A16;A
u000031;2018/1;A14;A
u000032;2014/2;A04;SU
u000032;2014/2;A18;NP
u000032;2014/2;A46;A
u000032;2015/1;A50;A
u000032;2015/1;A47;A
u000032;2015/2;A53;A
u000032;2016/1;A40;A
u000032;2016/1;A41;A
u000032;2016/1;A55;A
u000032;2017/1;A30;A
u000032;2017/1;A34;A
u000032;2017/2;A31;A
u000032;2017/2;A43;A
u000032;2017/2;A44;NP
u000032;2017/2;A05;A
u000033;2007/1;A55;NO
u000033;2007/1;A59;A
u000033;2007/1;A37;NO
u000033;2007/2;A19;A
u000033;2007/2;A13;SU
u000033;2007/2;A38;A
u000033;2008/1;A02;SU
u000033;2008/2;A33;A
u000033;2008/2;A49;NP
u000033;2009/1;A32;NO
u000033;2009/1;A13;NP
u000034;2003/1;A29;SU
u000034;2003/1;A34;A
u000034;2003/1;A47;NO
u000035;2008/1;A51;A
u000035;2008/2;A20;A
u000035;2008/2;A40;A
u000035;2009/1;A02;EX
u000035;2009/1;A30;NO
u000035;2009/1;A36;NO
u000035;2009/1;A24;SU
u000035;2009/2;A09;A
u000035;2009/2;A59;NO
u000035;2010/1;A07;A
u000035;2010/1;A58;A
u000035;2010/2;A45;EX
u000035;2010/2;A53;A
u000036;2013/1;A22;A
u000036;2013/1;A35;NO
u000036;2013/1;A02;NO
u000037;2003/1;A60;SU
u000037;2003/1;A11;A
u000037;2003/2;A59;A
u000037;2003/2;A45;SU
u000037;2004/1;A16;A
u000037;2004/2;A46;A
u000037;2004/2;A02;A
u000037;2005/1;A41;A
u000037;2005/1;A51;A
u000037;2005/1;A34;A
u000037;2005/1;A26;NO
u000037;2005/2;A53;A
u000037;2005/2;A39;A
u000037;2006/1;A52;A
u000037;2006/1;A05;NO
u000037;2006/2;A32;SU
u000037;2007/1;A47;SU
u000037;2007/1;A27;NO
u000037;2007/2;A19;SU
u000037;2007/2;A43;NP
u000037;2007/2;A32;SU
u000037;2007/2;A04;A
u000037;2008/1;A45;A
u000037;2008/1;A17;A
u000037;2008/1;A14;SU
u000037;2008/2;A38;A
u000037;2008/2;A32;A
u000037;2009/1;A37;NO
u000037;2009/1;A01;NP
u000037;2009/1;A43;A
u000037;2009/2;A15;A
u000037;2009/2;A09;NP
u000037;2009/2;A20;NO
u000037;2010/1;A55;SU
u000037;2010/1;A56;A
u000037;2010/2;A14;A
u000037;2010/2;A01;NO
u000037;2011/1;A24;A
u000038;2006/1;A53;A
u000038;2006/1;A40;A
u000038;2006/1;A24;NP
u000038;2006/1;A22;A
u000038;2006/2;A23;A
u000038;2006/2;A59;SU
u000038;2006/2;A59;SU
u000038;2007/1;A47;SU
u000038;2007/1;A19;A
u000038;2007/1;A28;NP
u000038;2008/1;A20;A
u000038;2008/1;A32;NP
u000038;2008/1;A05;NP
u000038;2009/1;A45;A
u000038;2009/1;A28;NO
u000038;2009/1;A06;A
u000038;2010/1;A60;SU
u000038;2010/2;A15;A
u000038;2010/2;A04;NP
u000038;2011/1;A48;NP
u000038;2011/2;A27;SU
u000038;2012/1;A48;NO
u000038;2012/1;A12;NO
u000038;2013/2;A50;NP
u000038;2014/1;A59;A
u000038;2014/1;A07;A
u000038;2014/1;A26;A
u000038;2015/1;A25;A
u000038;2015/1;A11;NO
u000038;2015/1;A17;NO
u000038;2015/1;A56;NO
u000038;2015/2;A47;A
u000039;2004/2;A54;NP
u000039;2004/2;A47;SU
u000039;2004/2;A48;SU
u000040;2003/1;A57;SU
u000040;2003/1;A57;A
u000040;2003/1;A02;A
u000041;2007/1;A13;A
u000041;2007/1;A18;A
u000041;2007/2;A10;SU
u000041;2007/2;A30;NP
u000041;2008/1;A04;SU
u000041;2008/2;A15;NO
u000041;2009/1;A37;A
u000041;2009/2;A32;A
u000041;2009/2;A22;A
u000041;2010/1;A10;A
u000041;2010/1;A36;A
u000041;2010/1;A11;A
u000041;2010/2;A49;NO
u000041;2010/2;A09;NO
u000041;2010/2;A43;SU
u000041;2011/1;A59;A
u000042;2015/2;A20;NO
u000042;2015/2;A05;A
u000042;2016/1;A29;NO
u000042;2016/1;A59;SU
u000042;2016/1;A52;A
u000042;2016/2;A59;A
u000042;2016/2;A32;NO
u000042;2017/1;A53;A
u000042;2017/1;A30;A
u000042;2017/1;A06;NO
u000042;2017/2;A19;SU
u000042;2017/2;A25;NO
u000042;2018/1;A43;A
u000043;2000/1;A33;A
u000043;2000/1;A09;SU
u000044;2004/1;A30;SU
u000044;2004/1;A50;A
u000044;2004/2;A22;NP
u000044;2005/1;A56;A
u000044;2006/1;A29;A
u000044;2006/1;A32;SU
u000044;2006/1;A52;SU
u000044;2006/2;A25;NP
u000044;2006/2;A55;SU
u000044;2007/2;A42;SU
u000044;2007/2;A42;NO
u000044;2008/2;A55;NO
u000044;2008/2;A22;NO
u000044;2009/1;A34;A
u000044;2009/2;A35;A
u000044;2009/2;A54;NP
u000044;2009/2;A44;A
u000044;2011/1;A38;A
u000044;2011/1;A52;SU
u000045;2011/1;A39;NO
u000045;2012/1;A57;M
u000045;2012/1;A42;A
u000046;2008/1;A04;A
u000046;2008/1;A49;A
u000046;2008/2;A25;NP
u000046;2008/2;A36;SU
u000046;2009/1;A41;NP
u000046;2009/1;A56;A
u000046;2009/1;A13;NP
u000046;2009/1;A25;NO
u000046;2009/1;A01;A
u000046;2009/1;A37;A
u000047;2004/2;A54;NO
u000047;2004/2;A01;NO
u000047;2004/2;A19;A
u000047;2005/1;A17;NP
u000047;2005/1;A13;NO
u000047;2005/1;A02;A
u000047;2005/1;A18;A
u000047;2005/2;A08;A
u000047;2005/2;A14;SU
u000047;2006/1;A32;A
u000047;2006/2;A51;A
u000047;2006/2;A37;NP
u000047;2007/1;A50;A
u000048;2022/1;A40;A
u000048;2022/1;A17;NO
u000048;2022/1;A26;NO
u000049;2022/1;A05;SU
u000049;2022/1;A03;NO
u000049;2022/1;A33;NO
u000049;2022/1;A53;A
u000050;2001/2;A09;SU
u000050;2001/2;A51;SU
u000050;2001/2;A22;A
u000050;2002/1;A45;A
u000050;2002/1;A16;A
u000050;2002/2;A07;SU
u000050;2002/2;A02;SU
u000050;2002/2;A41;A
u000050;2003/1;A51;A
u000050;2003/1;A04;A
u000050;2003/2;A23;A
u000050;2004/1;A11;NO
u000050;2004/1;A49;SU
u000051;2004/1;A57;EX
u000051;2004/1;A55;SU
u000052;2011/1;A56;A
u000052;2011/1;A05;NO
u000052;2011/1;A45;SU
u000052;2011/2;A07;SU
u000052;2011/2;A14;A
u000052;2012/1;A44;NO
u000052;2012/1;A60;NO
u000052;2012/2;A27;A
u000052;2012/2;A30;NO
u000052;2013/1;A20;NO
u000052;2013/2;A12;SU
u000052;2013/2;A07;NO
u000052;2014/1;A39;A
u000052;2014/2;A32;NP
u000052;2014/2;A41;NO
u000052;2015/1;A12;NO
u000052;2015/1;A19;A
u000052;2015/2;A55;A
u000052;2015/2;A16;SU
u000052;2016/1;A54;NO
u000052;2016/1;A06;A
u000053;2022/1;A10;A
u000053;2022/1;A45;SU
u000054;2008/1;A10;NO
u000055;2020/1;A55;A
u000055;2020/1;A04;A
u000055;2020/1;A47;NO
u000056;2011/1;A26;SU
u000056;2011/1;A08;NO
u000056;2011/1;A10;A
u000056;2011/1;A50;NP
u000056;2011/2;A46;SU
u000056;2011/2;A49;NP
u000056;2011/2;A58;SU
u000056;2011/2;A12;SU
u000056;2012/1;A53;NO
u000056;2012/1;A34;A
u000057;2019/1;A08;NO
u000057;2019/1;A34;NP
u000057;2019/1;A59;NO
u000057;2019/1;A29;NP
u000057;2020/1;A34;A
u000058;2021/2;A05;SU
u000058;2021/2;A20;SU
u000058;2021/2;A39;A
u000059;2000/1;A09;A
u000059;2000/1;A29;A
u000059;2000/1;A18;SU
u000059;2000/2;A14;NO
u000060;2017/2;A46;A
u000060;2017/2;A18;A
u000060;2018/1;A19;M
u000060;2018/1;A39;NP
u000060;2018/1;A31;NP
u000060;2018/2;A53;NP
u000060;2018/2;A24;SU
u000060;2018/2;A58;A
u000060;2019/2;A47;NO
u000060;2019/2;A25;SU
u000060;2019/2;A16;NO
u000060;2019/2;A35;A
u000060;2020/2;A52;NP
u000060;2020/2;A37;SU
u000061;2021/1;A49;NO
u000062;2021/1;A09;SU
u000062;2021/1;A48;NO
u000062;2021/1;A39;A
u000062;2022/1;A05;A
u000062;2022/1;A38;A
u000062;2022/1;A16;NO
u000063;2007/1;A42;NO
u000063;2007/1;A44;NO
u000063;2007/1;A54;SU
u000063;2007/2;A39;NP
u000063;2008/1;A21;SU
u000063;2008/2;A15;A
u000063;2008/2;A35;A
u000063;2008/2;A08;A
u000063;2009/1;A49;A
u000063;2009/1;A34;A
u000063;2009/1;A02;NO
u000063;2009/2;A40;A
u000063;2010/1;A21;A
u000063;2010/1;A11;SU
u000064;2005/1;A39;SU
u000064;2005/1;A22;NO
u000064;2005/2;A21;A
u000064;2006/1;A43;A
u000064;2006/1;A12;A
u000064;2006/2;A50;NO
u000064;2006/2;A33;A
u000065;2002/1;A41;A
u000065;2002/1;A05;SU
u000065;2002/1;A36;NO
u000065;2002/2;A17;SU
u000065;2002/2;A31;A
u000065;2003/2;A40;A
u000065;2003/2;A59;NO
u000066;2017/2;A26;NO
u000066;2017/2;A03;A
u000066;2017/2;A35;SU
u000066;2017/2;A45;NP
u000066;2018/1;A19;NO
u000066;2018/1;A07;SU
u000066;2018/1;A02;A
u000066;2018/2;A18;NO
u000066;2018/2;A05;SU
u000066;2018/2;A38;NP
u000067;2003/2;A57;A
u000067;2003/2;A19;A
u000067;2003/2;A53;SU
u000068;2002/1;A10;SU
u000068;2002/1;A23;SU
u000068;2002/1;A30;A
u000068;2003/1;A54;A
u000068;2003/1;A20;NO
u000068;2004/1;A06;NP
u000068;2004/1;A32;A
u000068;2004/1;A48;NP
u000068;2005/1;A09;SU
u000068;2005/1;A60;NO
u000068;2005/2;A08;SU
u000068;2005/2;A11;A
u000068;2006/1;A50;A
u000068;2006/1;A10;SU
u000068;2006/2;A51;A
u000068;2006/2;A23;A
u000068;2006/2;A24;NP
u000068;2006/2;A58;SU
u000068;2007/1;A06;A
u000068;2007/1;A47;SU
u000068;2007/1;A36;A
u000068;2007/1;A08;SU
u000068;2007/2;A58;NO
u000068;2007/2;A45;SU
u000069;2020/1;A06;A
u000069;2020/1;A32;SU
u000069;2020/1;A39;A
u000070;2002/1;A52;NO
u000070;2003/1;A09;NO
u000070;2003/2;A39;A
u000070;2003/2;A49;NP
u000070;2004/2;A47;A
u000070;2004/2;A28;A
u000070;2004/2;A56;NP
u000070;2005/1;A56;NO
u000070;2005/1;A37;A
u000070;2006/1;A53;SU
u000070;2006/1;A38;NP
u000070;2006/1;A33;SU
u000070;2006/2;A34;NO
u000070;2006/2;A26;A
u000070;2006/2;A22;A
u000070;2007/1;A29;NP
u000070;2007/1;A29;EX
u000070;2007/2;A19;A
u000070;2008/1;A10;NO
u000070;2008/1;A11;NO
u000070;2009/1;A25;A
u000070;2009/1;A43;SU
u000070;2009/1;A36;SU
u000070;2009/2;A50;A
u000070;2010/1;A48;NP
u000070;2010/2;A60;SU
u000070;2010/2;A44;SU
u000070;2010/2;A41;A
u000070;2011/1;A07;SU
u000070;2011/1;A17;SU
u000070;2012/1;A23;A
u000071;2010/1;A12;SU
u000071;2010/1;A28;NP
u000071;2010/1;A31;SU
u000071;2010/1;A31;NP
u000071;2010/1;A38;SU
u000071;2010/2;A56;SU
u000071;2010/2;A11;NO
u000071;2011/1;A45;A
u000071;2011/1;A15;SU
u000071;2011/1;A10;SU
u000071;2011/1;A39;NP
u000071;2012/1;A26;A
u000071;2012/1;A12;A
u000071;2012/1;A55;SU
u000071;2013/1;A10;A
u000071;2013/1;A06;A
u000071;2013/2;A04;NO
u000071;2013/2;A49;A
u000071;2013/2;A35;A
u000071;2014/2;A13;A
u000072;2004/1;A29;SU
u000072;2004/1;A03;A
u000072;2004/1;A27;A
u000072;2005/1;A49;NP
u000072;2005/1;A60;NO
u000072;2006/1;A36;SU
u000072;2006/1;A16;A
u000072;2006/1;A55;SU
u000072;2006/2;A55;A
u000072;2006/2;A36;NO
u000072;2007/2;A34;NP
u000072;2007/2;A53;A
u000072;2007/2;A23;A
u000072;2008/1;A29;NP
u000072;2008/1;A11;NO
u000072;2009/1;A38;NO
u000072;2009/1;A01;SU
u000072;2009/2;A31;A
u000072;2010/1;A20;A
u000072;2010/1;A50;SU
u000072;2010/2;A30;NP
u000072;2010/2;A21;A
u000072;2010/2;A28;NO
u000072;2011/2;A22;A
u000072;2012/1;A01;SU
u000072;2012/1;A56;A
u000072;2012/1;A44;A
u000073;2022/1;A35;A
u000073;2022/1;A32;NO
u000074;2001/1;A29;A
u000074;2001/1;A15;NP
u000074;2001/1;A16;NO
u000074;2001/2;A28;A
u000075;2012/2;A06;NP
u000075;2012/2;A09;NP
u000076;2002/1;A16;NO
u000076;2002/1;A48;A
u000076;2002/1;A17;A
u000076;2002/1;A46;NO
u000076;2002/2;A12;SU
u000076;2002/2;A10;SU
u000076;2002/2;A21;NO
u000076;2003/1;A28;A
u000076;2003/1;A13;NP
u000076;2003/1;A60;NP
u000076;2003/2;A30;A
u000076;2003/2;A03;NO
u000076;2003/2;A57;SU
u000076;2003/2;A18;A
u000076;2004/1;A08;EX
u000076;2004/1;A50;A
u000076;2004/2;A44;A
u000076;2004/2;A47;SU
u000076;2005/1;A59;A
u000076;2005/1;A20;NP
u000076;2005/2;A57;A
u000076;2005/2;A35;NO
u000076;2006/1;A02;NP
u000076;2006/1;A60;SU
u000076;2006/1;A19;NP
u000076;2006/1;A41;A
u000076;2006/1;A36;A
u000076;2006/2;A53;A
u000076;2006/2;A09;NP
u000076;2007/1;A40;A
u000076;2007/1;A29;NO
u000076;2007/2;A37;A
u000076;2007/2;A05;SU
u000076;2008/1;A47;NO
u000076;2008/2;A01;A
u000076;2008/2;A12;SU
u000076;2008/2;A60;A
u000076;2009/1;A33;NP
u000076;2009/1;A56;A
u000076;2010/1;A13;A
u000076;2010/2;A38;A
u000077;2010/1;A55;A
u000077;2010/1;A28;A
u000077;2010/1;A51;A
u000077;2010/2;A19;A
u000077;2010/2;A57;A
u000077;2010/2;A10;NO
u000077;2011/1;A29;A
u000077;2011/2;A23;A
u000077;2011/2;A07;NP
u000077;2012/1;A13;NO
u000077;2012/1;A34;A
u000077;2012/1;A32;A
u000077;2012/2;A58;A
u000077;2012/2;A52;SU
u000077;2013/1;A11;NO
u000077;2013/2;A37;NO
u000077;2013/2;A31;SU
u000078;2019/1;A27;NP
u000079;2017/2;A42;NO
u000079;2017/2;A01;SU
u000079;2017/2;A19;SU
u000080;2018/1;A39;A
u000080;2018/1;A24;A
u000081;2020/1;A35;NO
u000081;2020/2;A19;A
u000082;2014/2;A09;A
u000082;2014/2;A33;M
u000082;2015/1;A21;SU
u000082;2015/1;A43;A
u000082;2015/2;A13;SU
u000082;2015/2;A28;A
u000083;2021/2;A29;NP
u000083;2021/2;A10;NO
u000084;2015/2;A13;A
u000084;2015/2;A20;NP
u000085;2020/1;A13;SU
u000085;2020/1;A46;SU
u000085;2020/1;A49;A
u000086;2017/1;A09;NO
u000086;2017/1;A35;A
u000086;2017/1;A59;SU
u000086;2017/1;A60;A
u000087;2012/1;A40;NO
u000087;2012/1;A60;NP
u000087;2012/1;A45;SU
u000087;2012/2;A16;A
u000087;2012/2;A49;A
u000087;2012/2;A45;NP
u000087;2013/1;A18;EX
u000087;2013/1;A36;SU
u000088;2015/1;A24;SU
u000088;2015/1;A20;NP
u000088;2015/1;A56;NO
u000088;2015/1;A49;A
u000088;2016/1;A57;SU
u000088;2016/1;A17;A
u000088;2016/1;A47;SU
u000089;2003/1;A30;A
u000089;2004/1;A54;NP
u000089;2004/1;A50;A
u000089;2004/1;A24;A
u000090;2005/1;A12;SU
u000090;2005/1;A57;A
u000090;2005/1;A52;A
u000090;2005/2;A50;A
u000090;2005/2;A49;A
u000090;2005/2;A35;A
u000090;2006/1;A40;A
u000090;2006/1;A11;SU
u000090;2006/1;A31;NP
u000090;2006/2;A21;A
u000090;2006/2;A37;A
u000090;2006/2;A34;A
u000091;2011/2;A08;SU
u000091;2011/2;A31;A
u000091;2011/2;A34;A
u000092;2009/1;A49;NO
u000092;2010/1;A33;NP
u000092;2010/1;A16;NP
u000092;2010/1;A10;SU
u000092;2010/2;A20;A
u000092;2011/1;A04;SU
u000092;2011/1;A24;A
u000092;2011/2;A45;NO
u000092;2011/2;A29;SU
u000092;2011/2;A39;NP
u000092;2012/1;A05;A
u000092;2012/1;A08;SU
u000092;2012/2;A22;SU
u000092;2012/2;A11;SU
u000092;2012/2;A36;A
u000092;2012/2;A44;A
u000093;2021/2;A31;SU
u000093;2021/2;A22;NO
u000094;2006/1;A34;NO
u000094;2006/1;A50;NP
u000094;2006/2;A44;A
u000094;2006/2;A09;A
u000094;2006/2;A47;A
u000094;2007/1;A40;A
u000094;2007/1;A46;SU
u000094;2007/1;A04;A
u000094;2007/2;A26;A
u000094;2007/2;A60;SU
u000094;2007/2;A13;A
u000095;2009/2;A55;NP
u000095;2009/2;A20;NP
u000095;2009/2;A53;A
u000096;2005/1;A18;A
u000096;2005/1;A40;A
u000096;2005/2;A16;A
u000096;2005/2;A38;NP
u000096;2006/1;A42;A
u000096;2006/1;A44;A
u000096;2006/1;A17;A
u000096;2006/2;A46;NO
u000096;2007/1;A21;SU
u000096;2007/1;A19;NP
u000096;2007/2;A38;NO
u000096;2007/2;A37;A
u000096;2008/1;A22;NO
u000096;2008/1;A33;NO
u000096;2008/1;A51;NO
u000096;2008/1;A49;SU
u000096;2008/2;A19;SU
u000097;2021/2;A28;NO
u000097;2021/2;A54;SU
u000097;2022/1;A36;A
u000097;2022/1;A14;A
u000097;2022/1;A37;A
u000098;2013/2;A10;A
u000098;2013/2;A40;SU
u000098;2014/1;A12;NP
u000098;2014/1;A41;SU
u000098;2014/1;A55;A
u000098;2014/2;A08;A
u000098;2015/1;A27;NO
u000098;2015/1;A26;SU
u000098;2015/1;A23;EX
u000098;2015/2;A24;A
u000098;2015/2;A37;EX
u000098;2015/2;A13;A
u000098;2016/1;A50;SU
u000098;2016/1;A59;M
u000098;2016/2;A50;NO
u000098;2016/2;A22;NO
